D21,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B1031092,12/11/2021,A1099678,Attending,Yes
B1031092,12/11/2021,A1099679,Attending,Yes
B1031398,13/11/2021,A1099992,Attending,
B1031767,15/11/2021,A1100366,Attending,
B1031771,15/11/2021,A1100370,Attending,
B1031785,15/11/2021,A1100384,Attending,
B1031804,15/11/2021,A1100403,Attending,
B1031807,15/11/2021,A1100406,Attending,
B1031815,15/11/2021,A1100414,Attending,
B1031818,15/11/2021,A1100417,Attending,
B1031818,15/11/2021,A1100418,Attending,
B1031823,15/11/2021,A1100423,Attending,Yes
B1031869,15/11/2021,A1100469,Attending,Yes
B1031893,15/11/2021,A1100493,Attending,
B1031902,15/11/2021,A1100502,Attending,Yes
B1031904,15/11/2021,A1100504,Attending,Yes
B1031905,15/11/2021,A1100505,Attending,Yes
B1031910,15/11/2021,A1100510,Attending,
B1031914,15/11/2021,A1100514,Attending,Yes
B1031915,15/11/2021,A1100515,Attending,Yes
B1032020,15/11/2021,A1100620,Attending,
B1032028,15/11/2021,A1100628,Attending,Yes
B1032321,16/11/2021,A1100951,Attending,Yes
B1032326,16/11/2021,A1100956,Attending,
B1032327,16/11/2021,A1100957,Attending,Yes
B1032378,16/11/2021,A1101008,Attending,Yes
B1032384,16/11/2021,A1101014,Attending,Yes
B1032415,16/11/2021,A1101048,Attending,
B1032534,16/11/2021,A1101171,Attending,
B1032744,17/11/2021,A1101392,Attending,
B1032806,17/11/2021,A1101457,Attending,
B1032850,17/11/2021,A1101502,Attending,
B1032873,17/11/2021,A1101525,Attending,
B1032885,17/11/2021,A1101538,Attending,Yes
B1032887,17/11/2021,A1101540,Attending,Yes
B1032905,17/11/2021,A1101558,Attending,
B1032926,17/11/2021,A1101581,Attending,Yes
B1032927,17/11/2021,A1101582,Attending,Yes
B1032936,17/11/2021,A1101592,Attending,
B1032936,17/11/2021,A1101593,Attending,
B1032944,17/11/2021,A1101601,Attending,
B1032947,17/11/2021,A1101604,Attending,Yes
B1032960,17/11/2021,A1101617,Attending,
B1032982,17/11/2021,A1101639,Attending,
B1033114,18/11/2021,A1101774,Attending,Yes
B1033118,18/11/2021,A1101778,Attending,
B1033137,18/11/2021,A1101797,Attending,Yes
B1033175,18/11/2021,A1101835,Attending,
B1033206,18/11/2021,A1101866,Attending,Yes
B1033206,18/11/2021,A1101867,Attending,Yes
B1033211,18/11/2021,A1101872,Attending,Yes
B1033214,18/11/2021,A1101875,Attending,Yes
B1033214,18/11/2021,A1101876,Attending,Yes
B1033214,18/11/2021,A1101877,Attending,Yes
B1033353,18/11/2021,A1102020,Attending,
B1033418,19/11/2021,A1102085,Attending,
B1033459,19/11/2021,A1102127,Attending,Yes
B1033479,19/11/2021,A1102147,Attending,
B1033498,19/11/2021,A1102166,Attending,Yes
B1033498,19/11/2021,A1102167,Attending,Yes
B1033811,22/11/2021,A1102490,Attending,Yes
B1033867,22/11/2021,A1102547,Attending,Yes
B1033870,22/11/2021,A1102550,Attending,Yes
B1033895,22/11/2021,A1102575,Attending,Yes
B1033898,22/11/2021,A1102578,Attending,Yes
B1033900,22/11/2021,A1102580,Attending,Yes
B1033902,22/11/2021,A1102582,Attending,Yes
B1033903,22/11/2021,A1102583,Attending,Yes
B1033907,22/11/2021,A1102587,Attending,Yes
B1033909,22/11/2021,A1102589,Attending,Yes
B1033910,22/11/2021,A1102590,Attending,
B1033911,22/11/2021,A1102591,Attending,Yes
B1033931,22/11/2021,A1102611,Attending,
B1033933,22/11/2021,A1102613,Attending,
B1033938,22/11/2021,A1102618,Attending,
B1033940,22/11/2021,A1102620,Attending,
B1033946,22/11/2021,A1102626,Attending,Yes
B1033947,22/11/2021,A1102627,Attending,Yes
B1033953,22/11/2021,A1102633,Attending,Yes
B1034000,22/11/2021,A1102680,Attending,
B1034002,22/11/2021,A1102682,Attending,
B1034005,22/11/2021,A1102685,Attending,
B1034006,22/11/2021,A1102686,Attending,
B1034008,22/11/2021,A1102688,Attending,
B1034009,22/11/2021,A1102689,Attending,
B1034019,22/11/2021,A1102699,Attending,
B1034037,22/11/2021,A1102717,Attending,
B1034055,22/11/2021,A1102736,Attending,
B1034084,22/11/2021,A1102765,Attending,
B1034085,22/11/2021,A1102766,Attending,
B1034101,22/11/2021,A1102784,Attending,
B1034112,22/11/2021,A1102795,Attending,
B1034222,23/11/2021,A1102908,Attending,Yes
B1034236,23/11/2021,A1102922,Attending,Yes
B1034238,23/11/2021,A1102924,Attending,
B1034245,23/11/2021,A1102931,Attending,
B1034343,23/11/2021,A1103038,Attending,Yes
B1034346,23/11/2021,A1103041,Attending,Yes
B1034347,23/11/2021,A1103042,Attending,Yes
B1034366,23/11/2021,A1103061,Attending,Yes
B1034374,23/11/2021,A1103069,Attending,Yes
B1034394,23/11/2021,A1103089,Attending,Yes
B1034533,24/11/2021,A1103228,Attending,Yes
B1034533,24/11/2021,A1103229,Attending,Yes
B1034534,24/11/2021,A1103230,Attending,
B1034576,24/11/2021,A1103272,Attending,Yes
B1034578,24/11/2021,A1103274,Attending,
B1034579,24/11/2021,A1103275,Attending,
B1034581,24/11/2021,A1103277,Attending,
B1034585,24/11/2021,A1103281,Attending,
B1034590,24/11/2021,A1103286,Attending,
B1034599,24/11/2021,A1103295,Attending,Yes
B1034684,24/11/2021,A1103381,Attending,
B1034698,24/11/2021,A1103395,Attending,Yes
B1034703,24/11/2021,A1103400,Attending,Yes
B1034711,24/11/2021,A1103408,Attending,
B1034740,24/11/2021,A1103439,Attending,
B1034805,24/11/2021,A1103504,Attending,Yes
B1035020,24/11/2021,A1103720,Attending,
B1035104,25/11/2021,A1103809,Attending,
B1035104,25/11/2021,A1103810,Attending,Yes
B1035168,25/11/2021,A1103874,Attending,
B1035176,25/11/2021,A1103883,Attending,
B1035180,25/11/2021,A1103887,Attending,
B1035189,25/11/2021,A1103896,Attending,
B1035198,25/11/2021,A1103905,Attending,Yes
B1035201,25/11/2021,A1103908,Attending,
B1035229,25/11/2021,A1103936,Attending,Yes
B1035249,25/11/2021,A1103956,Attending,Yes
