SRM23,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B1168556,31/03/2023,A1241870,Attending,No
B1168653,31/03/2023,A1241971,Attending,No
B1168660,31/03/2023,A1241978,Attending,
B1169101,03/04/2023,A1242424,Attending,No
B1169113,03/04/2023,A1242436,Attending,Yes
B1169114,03/04/2023,A1242437,Attending,Yes
B1169200,04/04/2023,A1242525,Attending,
B1169544,05/04/2023,A1242871,Attending,Yes
B1170338,12/04/2023,A1243666,Attending,
B1170341,12/04/2023,A1243669,Cancelled,
B1170503,13/04/2023,A1243831,Attending,Yes
B1170574,13/04/2023,A1243902,Attending,Yes
B1171080,15/04/2023,A1244410,Attending,Yes
B1171677,18/04/2023,A1245017,Attending,Yes
B1172461,20/04/2023,A1245806,Attending,Yes
B1172463,20/04/2023,A1245808,Attending,Yes
B1172480,20/04/2023,A1245825,Attending,No
B1172491,20/04/2023,A1245836,Attending,Yes
B1172536,20/04/2023,A1245881,Attending,Yes
B1172557,21/04/2023,A1245902,Attending,
B1172587,21/04/2023,A1245932,Attending,
B1172604,21/04/2023,A1245949,Attending,
B1172674,21/04/2023,A1246019,Attending,Yes
B1172752,21/04/2023,A1246098,Attending,Yes
B1173057,22/04/2023,A1246405,Attending,
B1173261,24/04/2023,A1246610,Attending,
B1173298,24/04/2023,A1246647,Attending,
B1173417,24/04/2023,A1246766,Attending,
B1173431,24/04/2023,A1246780,Attending,Yes
B1173450,24/04/2023,A1246799,Attending,Yes
B1173594,24/04/2023,A1246943,Attending,
B1173825,25/04/2023,A1247174,Attending,No
B1174210,26/04/2023,A1247562,Attending,Yes
B1174389,26/04/2023,A1247742,Attending,Yes
B1174405,26/04/2023,A1247758,Attending,
B1174474,26/04/2023,A1247827,Attending,Yes
B1176341,02/05/2023,A1249711,Attending,Yes
B1176342,02/05/2023,A1249712,Attending,Yes
B1176343,02/05/2023,A1249713,Attending,Yes
B1176346,02/05/2023,A1249716,Attending,Yes
B1176347,02/05/2023,A1249717,Attending,Yes
B1176350,02/05/2023,A1249720,Attending,Yes
B1176353,02/05/2023,A1249723,Attending,Yes
B1176370,02/05/2023,A1249740,Attending,Yes
B1176371,02/05/2023,A1249741,Attending,Yes
B1176372,02/05/2023,A1249742,Attending,Yes
B1176373,02/05/2023,A1249743,Attending,Yes
B1176375,02/05/2023,A1249745,Attending,Yes
B1177197,03/05/2023,A1250578,Attending,
B1177208,03/05/2023,A1250591,Attending,
B1177217,03/05/2023,A1250600,Attending,
B1177243,03/05/2023,A1250626,Attending,
B1177372,04/05/2023,A1250756,Attending,
B1177384,04/05/2023,A1250768,Attending,Yes
B1177385,04/05/2023,A1250769,Attending,Yes
B1177386,04/05/2023,A1250770,Attending,No
B1177421,04/05/2023,A1250805,Attending,Yes
B1177439,04/05/2023,A1250826,Attending,Yes
B1177469,04/05/2023,A1250856,Attending,
B1178027,07/05/2023,A1251416,Attending,
B1178444,09/05/2023,A1251837,Attending,Yes
B1178448,09/05/2023,A1251841,Attending,
B1178470,09/05/2023,A1251863,Attending,Yes
B1178474,09/05/2023,A1251867,Attending,Yes
B1178617,09/05/2023,A1252010,Attending,Yes
B1178648,09/05/2023,A1252042,Attending,No
B1178694,09/05/2023,A1252088,Attending,No
B1179683,12/05/2023,A1253111,Attending,
B1179756,12/05/2023,A1253184,Attending,Yes
B1179766,12/05/2023,A1253194,Attending,Yes
B1179799,12/05/2023,A1253227,Attending,Yes
B1179800,12/05/2023,A1253228,Attending,Yes
B1179801,12/05/2023,A1253229,Attending,Yes
B1179802,12/05/2023,A1253230,Attending,Yes
B1179803,12/05/2023,A1253231,Attending,Yes
B1179804,12/05/2023,A1253232,Attending,Yes
B1179806,12/05/2023,A1253234,Attending,Yes
B1179807,12/05/2023,A1253235,Attending,Yes
B1180201,15/05/2023,A1253630,Attending,Yes
B1180202,15/05/2023,A1253631,Attending,Yes
B1180284,15/05/2023,A1253713,Attending,Yes
B1180285,15/05/2023,A1253714,Attending,Yes
B1180286,15/05/2023,A1253715,Attending,No
B1180288,15/05/2023,A1253717,Attending,Yes
B1180290,15/05/2023,A1253719,Attending,Yes
B1180293,15/05/2023,A1253722,Attending,Yes
B1180294,15/05/2023,A1253723,Attending,Yes
B1180390,15/05/2023,A1253819,Attending,No
B1180424,15/05/2023,A1253853,Attending,Yes
B1180506,15/05/2023,A1253937,Attending,Yes
B1180532,15/05/2023,A1253963,Attending,Yes
B1180533,15/05/2023,A1253964,Attending,
B1180601,16/05/2023,A1254032,Attending,Yes
B1180603,16/05/2023,A1254034,Attending,
B1180642,16/05/2023,A1254073,Attending,
B1180703,16/05/2023,A1254134,Attending,
B1180714,16/05/2023,A1254146,Attending,
B1180731,16/05/2023,A1254163,Attending,No
B1180754,16/05/2023,A1254186,Attending,
B1180758,16/05/2023,A1254190,Attending,
B1180785,16/05/2023,A1254218,Attending,No
B1180805,16/05/2023,A1254238,Attending,
B1181108,17/05/2023,A1254544,Attending,Yes
B1181109,17/05/2023,A1254545,Attending,Yes
B1181112,17/05/2023,A1254548,Attending,
B1181115,17/05/2023,A1254551,Attending,Yes
B1181127,17/05/2023,A1254563,Attending,
B1181143,17/05/2023,A1254580,Attending,Yes
B1181162,17/05/2023,A1254599,Attending,
B1181165,17/05/2023,A1254602,Attending,Yes
B1181178,17/05/2023,A1254615,Attending,
B1181190,17/05/2023,A1254627,Attending,
B1181204,17/05/2023,A1254641,Attending,
B1181226,17/05/2023,A1254663,Attending,
B1181260,17/05/2023,A1254697,Attending,
B1181302,17/05/2023,A1254739,Attending,Yes
B1181313,17/05/2023,A1254750,Attending,No
B1181358,17/05/2023,A1254795,Attending,
B1181375,17/05/2023,A1254812,Attending,Yes
B1181381,17/05/2023,A1254819,Attending,
B1181390,17/05/2023,A1254828,Attending,Yes
B1181411,18/05/2023,A1254849,Attending,
B1181412,18/05/2023,A1254850,Attending,
B1181414,18/05/2023,A1254852,Attending,
B1181419,18/05/2023,A1254857,Attending,Yes
B1181429,18/05/2023,A1254867,Attending,Yes
B1181434,18/05/2023,A1254872,Attending,
B1181444,18/05/2023,A1254882,Attending,
B1181454,18/05/2023,A1254892,Attending,
B1181468,18/05/2023,A1254906,Attending,Yes
B1181470,18/05/2023,A1254908,Attending,
B1181472,18/05/2023,A1254910,Attending,Yes
B1181474,18/05/2023,A1254912,Attending,
B1181476,18/05/2023,A1254914,Attending,Yes
B1181478,18/05/2023,A1254916,Attending,
B1181486,18/05/2023,A1254924,Attending,
B1181497,18/05/2023,A1254942,Attending,
B1181502,18/05/2023,A1254947,Attending,
B1181506,18/05/2023,A1254951,Attending,Yes
B1181510,18/05/2023,A1254955,Attending,
B1181521,18/05/2023,A1254966,Attending,Yes
B1181535,18/05/2023,A1254980,Attending,Yes
B1181540,18/05/2023,A1254985,Attending,
B1181589,18/05/2023,A1255034,Attending,No
B1181592,18/05/2023,A1255037,Attending,
B1181593,18/05/2023,A1255038,Attending,
B1181689,19/05/2023,A1255134,Attending,
B1181697,19/05/2023,A1255142,Attending,
B1181705,19/05/2023,A1255150,Attending,
B1181709,19/05/2023,A1255154,Attending,Yes
B1181710,19/05/2023,A1255155,Attending,
B1181719,19/05/2023,A1255164,Attending,
B1181720,19/05/2023,A1255165,Attending,
B1181733,19/05/2023,A1255178,Attending,Yes
B1181744,19/05/2023,A1255189,Attending,
B1181773,19/05/2023,A1255218,Attending,
B1181829,19/05/2023,A1255274,Attending,Yes
B1181962,20/05/2023,A1255407,Attending,
B1181984,20/05/2023,A1255429,Attending,
B1182077,21/05/2023,A1255522,Attending,
B1182112,21/05/2023,A1255557,Attending,
B1182150,21/05/2023,A1255595,Attending,
B1182201,22/05/2023,A1255646,Attending,
B1182219,22/05/2023,A1255664,Attending,
B1182240,22/05/2023,A1255685,Attending,
B1182242,22/05/2023,A1255687,Attending,
B1182244,22/05/2023,A1255689,Attending,Yes
B1182246,22/05/2023,A1255691,Attending,
B1182251,22/05/2023,A1255696,Attending,
B1182254,22/05/2023,A1255699,Attending,
B1182296,22/05/2023,A1255743,Attending,
B1182316,22/05/2023,A1255763,Attending,
B1182332,22/05/2023,A1255779,Attending,
B1182346,22/05/2023,A1255794,Attending,Yes
B1182350,22/05/2023,A1255797,Attending,Yes
B1182358,22/05/2023,A1255805,Attending,Yes
B1182453,22/05/2023,A1255900,Attending,
B1182459,22/05/2023,A1255906,Attending,
B1182463,22/05/2023,A1255910,Attending,
B1182530,22/05/2023,A1255977,Attending,Yes
B1182719,23/05/2023,A1256167,Attending,Yes
B1182722,23/05/2023,A1256170,Attending,Yes
B1182724,23/05/2023,A1256172,Attending,Yes
B1182798,23/05/2023,A1256246,Attending,Yes
B1182798,23/05/2023,A1256247,Attending,Yes
B1182822,23/05/2023,A1256271,Attending,Yes
B1182854,23/05/2023,A1256303,Attending,
B1182858,23/05/2023,A1256307,Attending,
B1182859,23/05/2023,A1256308,Attending,
B1182860,23/05/2023,A1256309,Attending,
B1182861,23/05/2023,A1256310,Attending,Yes
B1182862,23/05/2023,A1256311,Attending,
B1182864,23/05/2023,A1256313,Attending,
B1182865,23/05/2023,A1256314,Attending,
B1182866,23/05/2023,A1256315,Attending,
B1182867,23/05/2023,A1256316,Attending,
B1182868,23/05/2023,A1256317,Attending,
B1182869,23/05/2023,A1256318,Attending,
B1182871,23/05/2023,A1256320,Attending,
B1182872,23/05/2023,A1256321,Attending,
B1182873,23/05/2023,A1256322,Attending,
B1182875,23/05/2023,A1256324,Attending,
B1182882,23/05/2023,A1256331,Attending,
B1182885,23/05/2023,A1256334,Attending,
B1182886,23/05/2023,A1256335,Attending,
B1182890,23/05/2023,A1256339,Attending,
B1182894,23/05/2023,A1256343,Attending,
B1182895,23/05/2023,A1256344,Attending,
B1182896,23/05/2023,A1256345,Attending,Yes
B1182896,23/05/2023,A1256350,Attending,Yes
B1182897,23/05/2023,A1256346,Attending,
B1182898,23/05/2023,A1256347,Attending,
B1182899,23/05/2023,A1256348,Attending,
