D9,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B746451,09/08/2019,A809626,Attending,Yes
B746452,09/08/2019,A809627,Attending,No
B746455,09/08/2019,A809630,Attending,Yes
B746467,09/08/2019,A809644,Cancelled,Yes
B746468,09/08/2019,A809645,Attending,Yes
B746469,09/08/2019,A809646,Attending,No
B746473,09/08/2019,A809650,Attending,Yes
B746474,09/08/2019,A809651,Attending,No
B746478,09/08/2019,A809655,Cancelled,
B746480,09/08/2019,A809657,Attending,No
B746482,09/08/2019,A809659,Attending,Yes
B746504,09/08/2019,A809681,Attending,No
B746506,09/08/2019,A809683,Cancelled,
B746507,09/08/2019,A809684,Attending,Yes
B746517,09/08/2019,A809694,Attending,No
B746767,12/08/2019,A809944,Attending,No
B746774,12/08/2019,A809951,Attending,No
B746775,12/08/2019,A809952,Attending,Yes
B746777,12/08/2019,A809954,Attending,Yes
B747266,14/08/2019,A810446,Cancelled,
B747517,15/08/2019,A810705,Attending,No
B747519,15/08/2019,A810707,Attending,No
B747522,15/08/2019,A810710,Attending,Yes
B747524,15/08/2019,A810712,Attending,No
B747664,15/08/2019,A810854,Attending,Yes
B747668,15/08/2019,A810858,Attending,No
B747864,16/08/2019,A811054,Attending,Yes
B747868,16/08/2019,A811058,Attending,Yes
B747871,16/08/2019,A811061,Attending,Yes
B747940,16/08/2019,A811134,Attending,Yes
B748341,19/08/2019,A811537,Attending,Yes
B748344,19/08/2019,A811540,Cancelled,
B748345,19/08/2019,A811541,Attending,Yes
B748719,21/08/2019,A811926,Attending,Yes
B748720,21/08/2019,A811927,Attending,Yes
B748721,21/08/2019,A811928,Attending,No
B748723,21/08/2019,A811930,Attending,Yes
B748913,22/08/2019,A812130,Attending,No
B749739,28/08/2019,A812990,Attending,Yes
B749756,28/08/2019,A813007,Attending,No
B749761,28/08/2019,A813012,Attending,Yes
B749769,28/08/2019,A813020,Attending,Yes
B749825,28/08/2019,A813076,Attending,No
B749827,28/08/2019,A813078,Attending,Yes
B749829,28/08/2019,A813080,Attending,Yes
B749833,28/08/2019,A813084,Attending,Yes
B749850,28/08/2019,A813101,Booker not attending,
B749850,07/11/2019,A846863,Attending,Yes
B749896,28/08/2019,A813147,Cancelled,
B752096,29/08/2019,A815355,Attending,Yes
B752117,29/08/2019,A815377,Attending,Yes
B752961,02/09/2019,A816238,Cancelled,
B752964,02/09/2019,A816241,Attending,No
B752965,02/09/2019,A816242,Cancelled,
B753323,03/09/2019,A816608,Attending,Yes
B753323,03/09/2019,A816609,Attending,Yes
B753395,03/09/2019,A816681,Attending,Yes
B753397,03/09/2019,A816683,Attending,Yes
B753400,03/09/2019,A816686,Attending,Yes
B753403,03/09/2019,A816689,Attending,No
B753404,03/09/2019,A816690,Attending,Yes
B753407,03/09/2019,A816693,Cancelled,
B753409,03/09/2019,A816695,Attending,Yes
B753693,04/09/2019,A816979,Attending,Yes
B753948,05/09/2019,A817240,Attending,No
B753950,05/09/2019,A817242,Attending,Yes
B753951,05/09/2019,A817243,Attending,Yes
B753952,05/09/2019,A817244,Attending,No
B753969,05/09/2019,A817262,Attending,No
B754002,05/09/2019,A817295,Attending,Yes
B754003,05/09/2019,A817296,Cancelled,
B754004,05/09/2019,A817297,Attending,Yes
B754005,05/09/2019,A817298,Attending,Yes
B754114,06/09/2019,A817407,Attending,Yes
B754115,06/09/2019,A817408,Attending,Yes
B754116,06/09/2019,A817409,Attending,Yes
B754118,06/09/2019,A817411,Attending,No
B754604,09/09/2019,A817910,Attending,No
B754623,09/09/2019,A817929,Attending,No
B754665,09/09/2019,A817971,Attending,Yes
B754799,10/09/2019,A818106,Attending,Yes
B754928,10/09/2019,A818236,Attending,Yes
B754931,10/09/2019,A818239,Attending,No
B754932,10/09/2019,A818240,Attending,Yes
B754933,10/09/2019,A818241,Attending,No
B754937,10/09/2019,A818245,Attending,No
B754949,10/09/2019,A818257,Attending,Yes
B755641,13/09/2019,A818961,Attending,Yes
B755642,13/09/2019,A818962,Attending,Yes
B755648,13/09/2019,A818968,Attending,Yes
B755650,13/09/2019,A818970,Attending,No
B755651,13/09/2019,A818971,Attending,Yes
B755655,13/09/2019,A818976,Attending,Yes
B756860,18/09/2019,A820203,Cancelled,
B756861,18/09/2019,A820204,Cancelled,
B756862,18/09/2019,A820205,Attending,No
B756864,18/09/2019,A820207,Attending,No
B756866,18/09/2019,A820209,Attending,No
B756867,18/09/2019,A820210,Attending,Yes
B756869,18/09/2019,A820212,Attending,Yes
B757277,19/09/2019,A820624,Attending,Yes
B757278,19/09/2019,A820625,Cancelled,
B757282,19/09/2019,A820629,Attending,Yes
B757284,19/09/2019,A820631,Attending,Yes
B757285,19/09/2019,A820632,Attending,Yes
B757418,20/09/2019,A820768,Attending,Yes
B757426,20/09/2019,A820777,Attending,Yes
B757426,20/09/2019,A820778,Attending,Yes
B757432,20/09/2019,A820784,Attending,Yes
B757862,23/09/2019,A821226,Attending,No
B757863,23/09/2019,A821227,Cancelled,
B757864,23/09/2019,A821228,Attending,Yes
B757865,23/09/2019,A821229,Attending,Yes
B757866,23/09/2019,A821230,Attending,Yes
B757868,23/09/2019,A821232,Attending,No
B757870,23/09/2019,A821234,Attending,Yes
B757880,23/09/2019,A821244,Attending,No
B758184,24/09/2019,A821572,Attending,Yes
B758188,24/09/2019,A821576,Attending,Yes
B758189,24/09/2019,A821577,Attending,Yes
B758190,24/09/2019,A821578,Attending,Yes
B758197,24/09/2019,A821585,Attending,Yes
B758201,24/09/2019,A821589,Attending,Yes
B758332,25/09/2019,A821723,Attending,Yes
B758400,25/09/2019,A821792,Attending,Yes
B758402,25/09/2019,A821794,Attending,No
B758420,25/09/2019,A821812,Attending,Yes
B758444,25/09/2019,A821836,Cancelled,
B758457,25/09/2019,A821849,Attending,No
B758458,25/09/2019,A821850,Cancelled,
B760625,26/09/2019,A824042,Attending,Yes
B760849,26/09/2019,A824352,Attending,No
B760851,26/09/2019,A824354,Attending,No
B760852,26/09/2019,A824355,Attending,No
B762307,27/09/2019,A825827,Attending,No
B762314,27/09/2019,A825834,Attending,Yes
B762321,27/09/2019,A825841,Attending,Yes
B762328,27/09/2019,A825848,Attending,No
B762331,27/09/2019,A825851,Attending,No
B762369,27/09/2019,A825889,Attending,Yes
B764315,30/09/2019,A827850,Attending,Yes
B764321,30/09/2019,A827856,Attending,Yes
B764322,30/09/2019,A827857,Attending,Yes
B764324,30/09/2019,A827859,Attending,No
B764327,30/09/2019,A827862,Attending,No
B764329,30/09/2019,A827864,Attending,No
B764330,30/09/2019,A827865,Attending,No
B764332,30/09/2019,A827867,Cancelled,
B764351,30/09/2019,A827887,Attending,No
B764353,30/09/2019,A827889,Attending,Yes
B764487,30/09/2019,A828029,Attending,No
B764489,30/09/2019,A828031,Attending,Yes
B764490,30/09/2019,A828032,Attending,Yes
B764498,30/09/2019,A828041,Cancelled,
B764499,30/09/2019,A828042,Attending,Yes
B764539,30/09/2019,A828082,Cancelled,
B764934,01/10/2019,A828479,Attending,Yes
B764936,01/10/2019,A828481,Attending,Yes
B765046,01/10/2019,A828593,Attending,Yes
B765048,01/10/2019,A828595,Attending,No
B765051,01/10/2019,A828598,Attending,Yes
B765052,01/10/2019,A828599,Attending,No
B765053,01/10/2019,A828600,Attending,Yes
B765057,01/10/2019,A828604,Attending,Yes
B765063,01/10/2019,A828610,Attending,No
B765114,01/10/2019,A828661,Attending,Yes
B765193,01/10/2019,A828741,Attending,Yes
B765217,01/10/2019,A828766,Attending,No
B765226,01/10/2019,A828775,Attending,No
B765228,01/10/2019,A828777,Cancelled,
B765496,02/10/2019,A829048,Attending,Yes
B765544,02/10/2019,A829096,Cancelled,
B765546,02/10/2019,A829098,Cancelled,
B765572,02/10/2019,A829128,Attending,Yes
B765657,02/10/2019,A829240,Attending,Yes
B765663,02/10/2019,A829246,Attending,Yes
B765678,02/10/2019,A829263,Attending,Yes
B765739,02/10/2019,A829325,Cancelled,Yes
B766028,03/10/2019,A829633,Attending,Yes
B766029,03/10/2019,A829634,Attending,Yes
B766031,03/10/2019,A829636,Attending,Yes
B766032,03/10/2019,A829637,Attending,Yes
