D21A,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B1034805,22/11/2021,A1103504,Attending,
B1035020,22/11/2021,A1103720,Attending,
B1035104,22/11/2021,A1103809,Attending,
B1035104,22/11/2021,A1103810,Attending,
B1035168,22/11/2021,A1103874,Attending,
B1035176,23/11/2021,A1103883,Attending,
B1035180,23/11/2021,A1103887,Attending,
B1035189,23/11/2021,A1103896,Attending,
B1035198,23/11/2021,A1103905,Attending,
B1035201,23/11/2021,A1103908,Attending,
B1035229,23/11/2021,A1103936,Attending,
B1035249,23/11/2021,A1103956,Attending,
B1035261,23/11/2021,A1103968,Attending,
B1035265,23/11/2021,A1103972,Attending,
B1035304,23/11/2021,A1104011,Attending,
B1035306,23/11/2021,A1104013,Attending,
B1035526,24/11/2021,A1104235,Attending,
B1035558,24/11/2021,A1104267,Attending,
B1035564,24/11/2021,A1104273,Attending,
B1035572,24/11/2021,A1104281,Attending,
B1035574,24/11/2021,A1104286,Attending,
B1035590,24/11/2021,A1104302,Attending,
B1035594,24/11/2021,A1104306,Attending,
B1035666,24/11/2021,A1104378,Attending,
B1035677,24/11/2021,A1104389,Attending,
B1035854,24/11/2021,A1104570,Attending,
B1036071,24/11/2021,A1104789,Attending,
B1036082,24/11/2021,A1104800,Attending,
B1036178,24/11/2021,A1104896,Attending,
B1036179,24/11/2021,A1104897,Attending,
B1036180,24/11/2021,A1104898,Attending,
B1036184,24/11/2021,A1104902,Attending,
B1036185,24/11/2021,A1104903,Attending,
B1036187,25/11/2021,A1104905,Attending,
B1036191,25/11/2021,A1104909,Attending,
B1036192,25/11/2021,A1104910,Attending,
B1036193,25/11/2021,A1104911,Attending,
B1036431,25/11/2021,A1105152,Attending,
B1036459,25/11/2021,A1105180,Attending,
B1036460,25/11/2021,A1105181,Attending,
B1036468,25/11/2021,A1105189,Attending,
B1036469,25/11/2021,A1105190,Attending,
B1036470,25/11/2021,A1105191,Attending,
B1036471,25/11/2021,A1105192,Attending,
B1036472,25/11/2021,A1105193,Attending,
B1036474,25/11/2021,A1105195,Attending,
B1036477,25/11/2021,A1105198,Attending,
B1036480,26/11/2021,A1105201,Cancelled,
B1036482,26/11/2021,A1105203,Attending,
B1036500,26/11/2021,A1105221,Attending,
B1036500,26/11/2021,A1105222,Attending,
B1036504,26/11/2021,A1105226,Attending,
B1036534,26/11/2021,A1105256,Attending,
B1036568,26/11/2021,A1105290,Attending,
B1036623,26/11/2021,A1105345,Attending,
B1036644,26/11/2021,A1105366,Attending,
B1036657,28/11/2021,A1105379,Attending,
B1036660,29/11/2021,A1105382,Attending,
B1036661,29/11/2021,A1105383,Attending,
B1036664,29/11/2021,A1105386,Attending,
B1036667,29/11/2021,A1105389,Attending,
B1036670,29/11/2021,A1105392,Attending,
B1036671,29/11/2021,A1105393,Attending,
B1036674,29/11/2021,A1105396,Attending,
B1036675,29/11/2021,A1105397,Attending,
B1036676,29/11/2021,A1105398,Attending,
B1036677,29/11/2021,A1105399,Attending,
B1036678,29/11/2021,A1105400,Attending,
B1036681,30/11/2021,A1105403,Attending,
B1036682,30/11/2021,A1105404,Attending,
B1036692,30/11/2021,A1105414,Attending,
B1036766,30/11/2021,A1105488,Attending,
B1036996,30/11/2021,A1105721,Attending,
B1037002,30/11/2021,A1105727,Attending,
B1037037,30/11/2021,A1105762,Attending,
B1037054,30/11/2021,A1105779,Attending,
B1037162,30/11/2021,A1105887,Attending,
B1037192,30/11/2021,A1105917,Attending,
B1037220,30/11/2021,A1105945,Attending,
B1037222,30/11/2021,A1105947,Attending,
B1037223,30/11/2021,A1105948,Attending,
B1037234,30/11/2021,A1105959,Attending,
B1037297,30/11/2021,A1106026,Attending,
B1037339,30/11/2021,A1106069,Attending,
B1037457,30/11/2021,A1106191,Attending,
B1037458,30/11/2021,A1106192,Attending,
B1037462,30/11/2021,A1106196,Attending,
B1037471,30/11/2021,A1106205,Attending,
B1037473,30/11/2021,A1106207,Attending,
B1037480,30/11/2021,A1106214,Attending,
B1037522,30/11/2021,A1106264,Attending,
B1037525,30/11/2021,A1106267,Attending,
B1037526,30/11/2021,A1106268,Attending,
B1037527,30/11/2021,A1106269,Attending,
B1037528,30/11/2021,A1106270,Attending,
B1037534,30/11/2021,A1106278,Attending,
B1037536,30/11/2021,A1106280,Attending,
B1037537,30/11/2021,A1106281,Attending,
B1037538,30/11/2021,A1106282,Attending,
B1037541,30/11/2021,A1106285,Attending,
B1037543,30/11/2021,A1106287,Attending,
B1037544,30/11/2021,A1106288,Attending,
B1037549,30/11/2021,A1106294,Attending,
B1037551,01/12/2021,A1106296,Attending,
B1037552,01/12/2021,A1106297,Attending,
B1037555,01/12/2021,A1106300,Attending,
B1037556,01/12/2021,A1106301,Attending,
B1037557,01/12/2021,A1106302,Attending,
B1037559,01/12/2021,A1106304,Attending,
B1037560,01/12/2021,A1106305,Attending,
B1037561,01/12/2021,A1106306,Attending,
B1037562,01/12/2021,A1106307,Attending,
B1037563,01/12/2021,A1106308,Attending,
B1037732,01/12/2021,A1106488,Attending,
B1037750,01/12/2021,A1106506,Attending,
B1037759,02/12/2021,A1106515,Attending,
B1037834,02/12/2021,A1106590,Attending,
B1037857,02/12/2021,A1106613,Attending,
B1037862,02/12/2021,A1106618,Attending,
B1037867,02/12/2021,A1106623,Attending,
B1037877,02/12/2021,A1106633,Attending,
B1037886,02/12/2021,A1106642,Attending,
B1037927,02/12/2021,A1106683,Attending,
B1037938,02/12/2021,A1106694,Attending,
B1037963,02/12/2021,A1106719,Attending,
B1037964,02/12/2021,A1106720,Attending,
B1037978,02/12/2021,A1106734,Attending,
B1037979,02/12/2021,A1106735,Attending,
B1037980,02/12/2021,A1106736,Attending,
B1037982,02/12/2021,A1106738,Attending,
B1038188,02/12/2021,A1106944,Attending,
B1038330,02/12/2021,A1107087,Attending,
B1038335,02/12/2021,A1107092,Attending,
B1038342,02/12/2021,A1107099,Attending,
B1038351,02/12/2021,A1107108,Attending,
B1038352,02/12/2021,A1107109,Attending,
B1038353,02/12/2021,A1107110,Attending,
B1038358,02/12/2021,A1107115,Attending,
B1038360,02/12/2021,A1107117,Attending,
B1038364,02/12/2021,A1107121,Attending,
B1038366,02/12/2021,A1107123,Attending,
B1038370,02/12/2021,A1107127,Attending,
B1038382,02/12/2021,A1107139,Attending,
B1038383,02/12/2021,A1107140,Attending,
B1038384,03/12/2021,A1107141,Attending,
B1038385,03/12/2021,A1107142,Attending,
B1038389,03/12/2021,A1107146,Attending,
B1038391,03/12/2021,A1107148,Attending,
B1038393,03/12/2021,A1107150,Attending,
B1038395,03/12/2021,A1107152,Attending,
B1038396,03/12/2021,A1107153,Attending,
B1038400,03/12/2021,A1107157,Attending,
B1038402,03/12/2021,A1107159,Attending,
B1038403,03/12/2021,A1107160,Attending,
B1038406,03/12/2021,A1107163,Attending,
B1038407,03/12/2021,A1107164,Attending,
B1038409,03/12/2021,A1107166,Attending,
B1038410,03/12/2021,A1107167,Attending,
